University,Alabama,Alaska,American_Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia,Federated_States_of_Micronesia,Florida,Foreign_countries,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Marshall_Islands,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Northern_Marianas,Ohio,Oklahoma,Oregon,Outlying_areas_total,Palau,Pennsylvania,Puerto_Rico,Residence_not_reported,Rhode_Island,South_Carolina,South_Dakota,State_unknown,Tennessee,Texas,Utah,Vermont,Virgin_Islands,Virginia,Washington,West_Virginia,Wisconsin,Wyoming
Hamilton College,0.0,0.0,0.0,1.0,0.0,18.0,2.0,26.0,1.0,1.0,0.0,18.0,40.0,5.0,0.0,1.0,1.0,7.0,3.0,0.0,1.0,0.0,0.0,7.0,0.0,12.0,62.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,33.0,1.0,133.0,6.0,0.0,1.0,6.0,0.0,2.0,2.0,0.0,20.0,1.0,0.0,5.0,2.0,0.0,0.0,1.0,8.0,0.0,3.0,0.0,8.0,6.0,0.0,2.0,2.0
Hamline University,0.0,1.0,0.0,2.0,0.0,11.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,399.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,28.0,2.0
Hampden-Sydney College,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,56.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,1.0
Hampshire College,2.0,0.0,0.0,0.0,0.0,14.0,3.0,15.0,1.0,0.0,0.0,3.0,7.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,79.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,5.0,5.0,2.0,30.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,7.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0
Hampton University,1.0,0.0,0.0,7.0,2.0,40.0,4.0,16.0,9.0,14.0,0.0,24.0,25.0,82.0,0.0,0.0,0.0,53.0,10.0,1.0,1.0,3.0,5.0,0.0,0.0,150.0,16.0,19.0,6.0,6.0,5.0,0.0,0.0,7.0,1.0,83.0,1.0,99.0,54.0,0.0,0.0,40.0,2.0,1.0,0.0,0.0,55.0,0.0,0.0,1.0,21.0,0.0,3.0,11.0,52.0,0.0,0.0,0.0,208.0,5.0,0.0,4.0,0.0
Hannibal-LaGrange University,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,9.0,1.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hanover College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,2.0,228.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hardin-Simmons University,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Harding University,19.0,0.0,0.0,3.0,242.0,7.0,13.0,1.0,0.0,0.0,0.0,27.0,29.0,6.0,0.0,0.0,0.0,13.0,4.0,5.0,10.0,11.0,17.0,1.0,0.0,1.0,1.0,4.0,6.0,3.0,37.0,1.0,0.0,0.0,3.0,2.0,2.0,4.0,9.0,0.0,0.0,19.0,39.0,5.0,0.0,0.0,8.0,0.0,2.0,0.0,2.0,3.0,0.0,106.0,168.0,1.0,0.0,0.0,13.0,1.0,5.0,1.0,0.0
Harris-Stowe State University,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,39.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
